,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Персонал,Отношение к клиентам,Время ожидания,Ипотека,Кредит,Расположение,Банкомат,График работы,Ремонт,load_time
0,51679292943,СберБанк,"Московский просп., 12, Калининград",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-18:00, 'sun': выходной",54.710202,20.495711,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,79,77,61,74,77,90,,,,2024-06-21 21:59:31
1,1016499984,СберБанк,"ул. Черняховского, 4, Калининград",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-17:00, 'sun': выходной",54.718786,20.503094,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,81,77,61,,,100,79,,,2024-06-21 21:59:31
2,71924155629,СберБанк,"ул. Шевченко, 11А, Калининград",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:30, 'sun': выходной",54.711619,20.511044,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",74,78,68,65,,30,96,69,,,2024-06-21 21:59:31
3,1070112742,СберБанк,"ул. Новый Вал, 33, Калининград",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной",54.699672,20.510400,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,92,92,78,,,,71,,,2024-06-21 21:59:31
4,1121691928,СберБанк,"Советский просп., 2, Калининград",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': 09:00-16:00",54.721758,20.499256,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,79,76,64,,,,,,,2024-06-21 21:59:31
5,1122325688,СберБанк,"ул. Карла Маркса, 49, Калининград",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:00-17:30, 'sun': выходной",54.725130,20.469259,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,87,87,81,,,100,,,,2024-06-21 21:59:31
6,1079058449,СберБанк,"Киевская ул., 95, Калининград",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:30, 'sun': выходной",54.681151,20.474144,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,91,87,74,,,100,65,67,,2024-06-21 21:59:31
7,69110210440,СберБанк,"ул. Белинского, 38, Калининград",www.sberbank.ru,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной",54.716178,20.443410,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,91,91,81,,,,,,,2024-06-21 21:59:31
8,1132163876,СберБанк,"ул. 9 Апреля, 7, Калининград",www.sberbank.ru,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной",54.714920,20.522141,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,92,87,82,,,100,,,,2024-06-21 21:59:31
9,1073094697,СберБанк,"ул. Чекистов, 36, Калининград",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной",54.732510,20.474556,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",89,91,91,76,,,100,61,,71,2024-06-21 21:59:31
